level1	level2	level3	level4	level5	level6	freq
DIRECT EFFECTS	BIO-FERTILIZATION	CO2 Fixation	CO2_FIXATION-ALTERNATIVE_PAHTWAYS	CO2_FIXATION-REDUCTIVE_CITRIC_ACID_CYCLE	icd	1
DIRECT EFFECTS	BIO-FERTILIZATION	CO2 Fixation	CO2_FIXATION-ALTERNATIVE_PAHTWAYS	CO2_FIXATION-REDUCTIVE_CITRIC_ACID_CYCLE	korA|oorA|oforA	1
DIRECT EFFECTS	BIO-FERTILIZATION	CO2 Fixation	CO2_FIXATION-ALTERNATIVE_PAHTWAYS	CO2_FIXATION-REDUCTIVE_CITRIC_ACID_CYCLE	korB|oorB|oforB	1
DIRECT EFFECTS	BIO-FERTILIZATION	CO2 Fixation	CO2_FIXATION-ALTERNATIVE_PAHTWAYS	PHOTOSYNTHETIC_CO2_FIXATION	cynT|can	2
DIRECT EFFECTS	BIO-FERTILIZATION	CO2 Fixation	CO2_FIXATION-RuBisCo	CO2_FIXATION-RuBisCo_BIOSYNTHESIS	rbcL|cbbL	1
DIRECT EFFECTS	BIO-FERTILIZATION	CO2 Fixation	CO2_FIXATION-RuBisCo	CO2_FIXATION-RuBisCo_BIOSYNTHESIS_REGULATION	cbbR|cmpR|ndhR	8
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-HEMOPHORES	HEMOPHORES-HEME|HEMIN_UTILISATION	hmoA	2
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-HEMOPHORES	HEMOPHORES-SIROHEME	cobA_hemD	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-HEMOPHORES	HEMOPHORES-SIROHEME	hemA	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-HEMOPHORES	HEMOPHORES-SIROHEME	hemB	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-HEMOPHORES	HEMOPHORES-SIROHEME	hemC	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-HEMOPHORES	HEMOPHORES-SIROHEME	hemD	2
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-HEMOPHORES	HEMOPHORES-SIROHEME	hemL	2
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-HEMOPHORES	HEMOPHORES-SIROHEME	sirA|ylnD|cysG|cobA	3
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-IRON_HOMOEOSTASIS	IRON_HOMEOSTASIS-Fmn|Dmk|Ppl|Ndh|Eet_SYSTEM	fmnA|ecfT	2
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-IRON_HOMOEOSTASIS	IRON_HOMEOSTASIS-Fmn|Dmk|Ppl|Ndh|Eet_SYSTEM	ndh	4
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-IRON_HOMOEOSTASIS	IRON_HOMEOSTASIS-FoxABCD	coxC|ctaE	2
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-IRON_HOMOEOSTASIS	IRON_HOMEOSTASIS-FoxABCD	foxA|coxA|ctaD	2
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-IRON_HOMOEOSTASIS	IRON_HOMEOSTASIS-FoxABCD	foxB|coxB|ctaC	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-IRON_HOMOEOSTASIS	IRON_HOMEOSTASIS-RELATED_PROTEINS	dps|dpsA	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	Iron acquisition-IRON_UPTAKE_REGULATION	fur|furB|zur	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	Iron acquisition-IRON_UPTAKE_REGULATION	pmrA	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	Iron acquisition-IRON_UPTAKE_REGULATION	troR	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	Iron acquisition-LIPOIC_ACID_CHELATORS	lipA	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	Iron acquisition-LIPOIC_ACID_CHELATORS	lipL	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	Iron acquisition-RELATED_PROTEINS-BaeSR_SYSTEM	baeS	3
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-CATECHOL_RELATED_FERRIC_CITRATE_TRANSPORT	fecB|htsA	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-CATECHOL_RELATED_FERRIC_CITRATE_TRANSPORT	fecC|htsB	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-CATECHOL_RELATED_FERRIC_CITRATE_TRANSPORT	fecD|htsC	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-CATECHOL_RELATED_FERRIC_CITRATE_TRANSPORT	fecE	1
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-FeuABC|YusV-TRANSPORT_COMPLEX	feuA|yvrC|ABC_FEV_S|fatB	8
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-FeuABC|YusV-TRANSPORT_COMPLEX	feuB|feuC|chuU|yfhA|hmuU|ABC_FEV_P|fatC|fatD	10
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-FeuABC|YusV-TRANSPORT_COMPLEX	yusV|ABC_FEV_A|feuD	5
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-IRON_III_TRANSPORT_SYSTEM	afuA|fbpA	2
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-IRON_III_TRANSPORT_SYSTEM	afuB|fbpB	3
DIRECT EFFECTS	BIO-FERTILIZATION	Iron acquisition	Iron acquisition-OTHER_TRANSPORT_SYSTEMS	IRON_TRANSPORT-IRON_III_TRANSPORT_SYSTEM	afuC|fbpC	2
