ID	treatment	name	hydrodots	treatment2	H1	S1	H2	S2	H3	S3	H4	S4	weight
C1	Control	Control	No	Control	52.7	5.3	120	13.93	169.4	18.71	178	19.34	0.8
C2	Control	Control	No	Control	27.4	3.45	56.4	5.66					
C3	Control	Control	No	Control	28.7	4.68	66.5	9.8	88	12.79	93	12.73	0.2
C4	Control	Control	No	Control	51.8	5.59	96	9.98	140	15.93	145	14.78	0.38
C5	Control	Control	No	Control	27.5	3.57	63	6.31	104	10.06	109	9.47	0.14
C6	Control	Control	No	Control	44.6	5.52	91	9.22	163.3	12.85	146.5	12.24	0.38
C7	Control	Control	No	Control	46	5.71	70	9.31	119.7	11.33	123.5	10.53	0.18
C8	Control	Control	No	Control	47.5	6.3	98	10.74	134.2	14.72	130.5	14.85	0.3
C9	Control	Control	No	Control	29.5	4.6	87.3	9.08	77	11.82	81	11.91	0.09
C10	Control	Control	No	Control	47.5	6.28	94.5	11.31	133	13.3	137	12.4	0.28
C11	Control	Control	No	Control	46.5	6.4	110.5	11.89	159.6	17.94	167	18.67	0.8
C12	Control	Control	No	Control	43.5	4.87	84	7.6	114.3	12.43	120	11.34	0.2
C13	Control	Control	No	Control	34.5	5.16	85.3	9.88	127.8	13.67	135	13.41	0.28
C14	Control	Control	No	Control	35	5.53	84.5	7.2	119.4	12.08	128	11.25	0.23
C15	Control	Control	No	Control	20	3.83	60	6.03	93	7.9	101	8.05	0.12
C16	Control	Control	No	Control	33.4	4.45	94.5	10.28	126.8	14.41	131	15.97	0.52
C17	Control	Control	No	Control	43.5	4.85	78	7.13	104.7	9.55	109	9.83	0.12
C18	Control	Control	No	Control	49.8	4.95	99	10.66	146	13.59	154.5	19.06	0.42
C19	Control	Control	No	Control	33.5	5.25	100	10.88	149	16.01	160	15.16	0.5
C20	Control	Control	No	Control	46.7	5.3	94.5	10.13	137	14.14	141.5	13.72	0.36
C21	Control	Control	No	Control	43.1	6	94.5	9.02	142.5	14.35	153	16.65	0.48
C22	Control	Control	No	Control	39	4.32	71	7.66	100	8.83	105.5	9.8	0.14
C23	Control	Control	No	Control	41.5	5.91	99	11.27	126.7	13.06	130.5	13.65	0.18
C24	Control	Control	No	Control	20.2	2.64	62.5	6.04	100.6	8.8	111.5	9.39	0.2
C25	Control	Control	No	Control	29.4	3.77	77	7.45	119	9.79	124.5	10.55	0.24
C26	Control	Control	No	Control	57	7.17	136	17.8	186	24.13	194.5	25.61	1.06
C27	Control	Control	No	Control	19	3.18	52	4.73	88	7.31	101.5	7.78	0.12
C28	Control	Control	No	Control	16.8	4.12	82.5	9.75	121.4	11.82	129	11.53	0.16
