"","G1","G2","p.adjusted"
"1","C10","C1",0.001070994
"2","C37","C1",0.001070994
"3","C38","C1",0.001070994
"4","C41","C1",0.001070994
"5","C44","C1",0.001070994
"6","C47","C1",0.001070994
"7","C52","C1",0.001070994
"8","C55","C1",0.001070994
"9","C58","C1",0.001070994
"10","C8","C1",0.001070994
"11","C13","C1",0.001070994
"12","C17","C1",0.001070994
"13","C18","C1",0.001070994
"14","C28","C1",0.001070994
"15","C59","C1",0.001070994
"16","C65","C1",0.001070994
"17","C67","C1",0.001070994
"18","C70","C1",0.001070994
"19","C72","C1",0.001070994
"20","C73","C1",0.001070994
"21","C74","C1",0.001070994
"22","C86","C1",0.001070994
"23","C15","C1",0.001070994
"24","C16","C1",0.001070994
"25","C33","C1",0.001070994
"26","C36","C1",0.001070994
"27","C56","C1",0.001070994
"28","C87","C1",0.001070994
"29","C88","C1",0.001070994
"30","C89","C1",0.001070994
"31","C90","C1",0.001070994
"32","C91","C1",0.001070994
"33","C37","C10",0.001070994
"34","C38","C10",0.001070994
"35","C41","C10",0.001070994
"36","C44","C10",0.001070994
"37","C47","C10",0.001070994
"38","C52","C10",0.001070994
"39","C55","C10",0.001070994
"40","C58","C10",0.001070994
"41","C8","C10",0.001070994
"42","C13","C10",0.001070994
"43","C17","C10",0.001070994
"44","C18","C10",0.001070994
"45","C28","C10",0.001070994
"46","C59","C10",0.001070994
"47","C65","C10",0.001070994
"48","C67","C10",0.001070994
"49","C70","C10",0.001070994
"50","C72","C10",0.001070994
"51","C73","C10",0.001070994
"52","C74","C10",0.001070994
"53","C86","C10",0.001070994
"54","C15","C10",0.001070994
"55","C16","C10",0.001070994
"56","C33","C10",0.001070994
"57","C36","C10",0.001070994
"58","C56","C10",0.001070994
"59","C87","C10",0.001070994
"60","C88","C10",0.001070994
"61","C89","C10",0.001070994
"62","C90","C10",0.001070994
"63","C91","C10",0.001070994
"64","C38","C37",0.001070994
"65","C41","C37",0.001070994
"66","C44","C37",0.001070994
"67","C47","C37",0.001070994
"68","C52","C37",0.001070994
"69","C55","C37",0.001070994
"70","C58","C37",0.001070994
"71","C8","C37",0.001070994
"72","C37","C13",0.001070994
"73","C37","C17",0.001070994
"74","C37","C18",0.001070994
"75","C37","C28",0.001070994
"76","C59","C37",0.002066536
"77","C65","C37",0.001070994
"78","C67","C37",0.001070994
"79","C70","C37",0.001070994
"80","C72","C37",0.001070994
"81","C73","C37",0.001070994
"82","C74","C37",0.001070994
"83","C86","C37",0.001070994
"84","C37","C15",0.001070994
"85","C37","C16",0.001070994
"86","C37","C33",0.001070994
"87","C37","C36",0.001070994
"88","C56","C37",0.001070994
"89","C87","C37",0.001070994
"90","C88","C37",0.001070994
"91","C89","C37",0.001070994
"92","C90","C37",0.001070994
"93","C91","C37",0.001070994
"94","C41","C38",0.001070994
"95","C44","C38",0.002066536
"96","C47","C38",0.001070994
"97","C52","C38",0.001070994
"98","C55","C38",0.001070994
"99","C58","C38",0.001070994
"100","C8","C38",0.001070994
"101","C38","C13",0.001070994
"102","C38","C17",0.001070994
"103","C38","C18",0.001070994
"104","C38","C28",0.001070994
"105","C59","C38",0.001070994
"106","C65","C38",0.001070994
"107","C67","C38",0.001070994
"108","C70","C38",0.001070994
"109","C72","C38",0.001070994
"110","C73","C38",0.001070994
"111","C74","C38",0.001070994
"112","C86","C38",0.001070994
"113","C38","C15",0.001070994
"114","C38","C16",0.001070994
"115","C38","C33",0.001070994
"116","C38","C36",0.001070994
"117","C56","C38",0.001070994
"118","C87","C38",0.001070994
"119","C88","C38",0.001070994
"120","C89","C38",0.001070994
"121","C90","C38",0.001070994
"122","C91","C38",0.001070994
"123","C44","C41",0.002066536
"124","C47","C41",0.001070994
"125","C52","C41",0.001070994
"126","C55","C41",0.001070994
"127","C58","C41",0.001070994
"128","C8","C41",0.001070994
"129","C41","C13",0.001070994
"130","C41","C17",0.001070994
"131","C41","C18",0.001070994
"132","C41","C28",0.001070994
"133","C59","C41",0.002066536
"134","C65","C41",0.001070994
"135","C67","C41",0.001070994
"136","C70","C41",0.001070994
"137","C72","C41",0.001070994
"138","C73","C41",0.001070994
"139","C74","C41",0.001070994
"140","C86","C41",0.001070994
"141","C41","C15",0.001070994
"142","C41","C16",0.001070994
"143","C41","C33",0.001070994
"144","C41","C36",0.001070994
"145","C56","C41",0.001070994
"146","C87","C41",0.001070994
"147","C88","C41",0.001070994
"148","C89","C41",0.001070994
"149","C90","C41",0.001070994
"150","C91","C41",0.001070994
"151","C47","C44",0.001070994
"152","C52","C44",0.001070994
"153","C55","C44",0.001070994
"154","C58","C44",0.002066536
"155","C8","C44",0.001070994
"156","C44","C13",0.001070994
"157","C44","C17",0.001070994
"158","C44","C18",0.001070994
"159","C44","C28",0.001070994
"160","C59","C44",0.001070994
"161","C65","C44",0.001070994
"162","C67","C44",0.001070994
"163","C70","C44",0.001070994
"164","C72","C44",0.001070994
