"","pairs","Df","SumsOfSqs","F.Model","R2","p.value","p.adjusted","sig"
"1","C1 vs C10",1,1.37798864594107,13.1917349161128,0.422924051887166,0.001,0.0010709939148073,"*"
"2","C1 vs C37",1,0.674094392332264,10.2380931923628,0.362563191594388,0.001,0.0010709939148073,"*"
"3","C1 vs C38",1,0.732791722434133,10.473040324505,0.36782304260959,0.001,0.0010709939148073,"*"
"4","C1 vs C41",1,0.640380555596131,9.52735668506131,0.359152131068776,0.001,0.0010709939148073,"*"
"5","C1 vs C44",1,0.655447307252986,6.38078752187775,0.261713757857577,0.001,0.0010709939148073,"*"
"6","C1 vs C47",1,1.57533086426539,15.1457276789223,0.456943586384245,0.001,0.0010709939148073,"*"
"7","C1 vs C52",1,1.54660013809525,14.1662785313066,0.440407755516975,0.001,0.0010709939148073,"*"
"8","C1 vs C55",1,1.17142436671431,14.625029887871,0.44827636750482,0.001,0.0010709939148073,"*"
"9","C1 vs C58",1,1.13397969909088,11.5188586887119,0.390220326950404,0.001,0.0010709939148073,"*"
"10","C1 vs C8",1,0.610267106034762,8.26499774541992,0.314677268413669,0.001,0.0010709939148073,"*"
"11","C1 vs C13",1,1.42885985448159,14.2381570790081,0.441655428507087,0.001,0.0010709939148073,"*"
"12","C1 vs C17",1,1.00514256301276,13.2653559521456,0.424282901894652,0.001,0.0010709939148073,"*"
"13","C1 vs C18",1,1.29379532468727,10.1003396306695,0.359438347131069,0.001,0.0010709939148073,"*"
"14","C1 vs C28",1,0.720335252702815,10.5035803546989,0.368500385705663,0.001,0.0010709939148073,"*"
"15","C1 vs C59",1,1.17772197802848,15.4161543723871,0.461338375463275,0.001,0.0010709939148073,"*"
"16","C1 vs C65",1,0.729630950364775,7.76870060351686,0.31364990549459,0.001,0.0010709939148073,"*"
"17","C1 vs C67",1,0.715688435069358,12.2925607871158,0.405794705621063,0.001,0.0010709939148073,"*"
"18","C1 vs C70",1,1.59573335944815,17.664458309851,0.495295853266102,0.001,0.0010709939148073,"*"
"19","C1 vs C72",1,0.53047098220468,7.40229002786148,0.2914024688224,0.001,0.0010709939148073,"*"
"20","C1 vs C73",1,0.581540917582008,8.22715035147231,0.313688305485711,0.001,0.0010709939148073,"*"
"21","C1 vs C74",1,0.842974868355469,9.20366812691144,0.338324526088695,0.001,0.0010709939148073,"*"
"22","C1 vs C86",1,1.60795049960494,17.6696457396932,0.524794524905334,0.001,0.0010709939148073,"*"
"23","C1 vs C15",1,1.32323562845754,12.2794607454399,0.419388213881375,0.001,0.0010709939148073,"*"
"24","C1 vs C16",1,1.69328742425025,22.089187240598,0.551001124268952,0.001,0.0010709939148073,"*"
"25","C1 vs C33",1,1.74859393153065,17.220343256716,0.488931727076008,0.001,0.0010709939148073,"*"
"26","C1 vs C36",1,1.89636944916195,23.7337261278783,0.56869415530151,0.001,0.0010709939148073,"*"
"27","C1 vs C56",1,1.41891163948803,14.7356165887675,0.450140187486912,0.001,0.0010709939148073,"*"
"28","C1 vs C87",1,1.45119184513455,12.7716668335888,0.415046312006988,0.001,0.0010709939148073,"*"
"29","C1 vs C88",1,1.84110413659941,21.170833193659,0.540474415976583,0.001,0.0010709939148073,"*"
"30","C1 vs C89",1,2.08821782542569,26.9543563940924,0.59959386711706,0.001,0.0010709939148073,"*"
"31","C1 vs C90",1,1.49165937537733,17.7060774969637,0.49588413900881,0.001,0.0010709939148073,"*"
"32","C1 vs C91",1,2.29967032071898,29.3139506165646,0.619562522988765,0.001,0.0010709939148073,"*"
"33","C10 vs C37",1,1.35766114723814,13.1486287597014,0.422125444466193,0.001,0.0010709939148073,"*"
"34","C10 vs C38",1,1.36493499611225,12.7109619147697,0.413890061472046,0.001,0.0010709939148073,"*"
"35","C10 vs C41",1,1.16134207137499,10.8710509407264,0.39004811708916,0.001,0.0010709939148073,"*"
"36","C10 vs C44",1,1.00566424965046,7.17638686479324,0.285044351412821,0.001,0.0010709939148073,"*"
"37","C10 vs C47",1,1.00185387288509,7.08400735204691,0.282411309031483,0.001,0.0010709939148073,"*"
"38","C10 vs C52",1,0.732910545076527,4.9998012667266,0.217384542098619,0.001,0.0010709939148073,"*"
"39","C10 vs C55",1,0.72112016343539,6.13664978929127,0.254246129552492,0.001,0.0010709939148073,"*"
"40","C10 vs C58",1,0.836345398978451,6.15599619662156,0.254843399813191,0.001,0.0010709939148073,"*"
"41","C10 vs C8",1,1.51003792969087,13.5732879839181,0.429897829799407,0.001,0.0010709939148073,"*"
"42","C10 vs C13",1,1.05262368243378,7.64058392073417,0.297987906373522,0.001,0.0010709939148073,"*"
"43","C10 vs C17",1,1.250302884819,11.0465255939432,0.380304541354393,0.001,0.0010709939148073,"*"
"44","C10 vs C18",1,0.588372175181759,3.55495972861241,0.164925370929526,0.001,0.0010709939148073,"*"
"45","C10 vs C28",1,1.33546989455245,12.5995877153455,0.411756780272791,0.001,0.0010709939148073,"*"
"46","C10 vs C59",1,1.44496774672496,12.6964851715918,0.413613646664076,0.001,0.0010709939148073,"*"
"47","C10 vs C65",1,0.956389228555393,7.16218052379063,0.296421116328412,0.001,0.0010709939148073,"*"
"48","C10 vs C67",1,1.33947840430315,14.0062354296837,0.437609585808827,0.001,0.0010709939148073,"*"
"49","C10 vs C70",1,0.432178501588479,3.38302867154996,0.158210921545041,0.001,0.0010709939148073,"*"
"50","C10 vs C72",1,1.39038917990578,12.7469457850664,0.41457599965124,0.001,0.0010709939148073,"*"
"51","C10 vs C73",1,1.19192573936696,11.0262672832692,0.379872037133233,0.001,0.0010709939148073,"*"
"52","C10 vs C74",1,0.72827645468232,5.645363343804,0.238751389087168,0.001,0.0010709939148073,"*"
"53","C10 vs C86",1,0.819860920689563,6.16017441912119,0.277984022264997,0.001,0.0010709939148073,"*"
