Domain,Phylum,Class,Order,Family,Genus,Species,best_hit
Bacteria,Thermotogota,Thermotogae,Thermotogales,Fervidobacteriaceae,Fervidobacterium,g__Fervidobacterium,ASV 1: 4e7c6d1d08e4959c8495a331da3b8d43:g__Fervidobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,g__Leptotrichia,ASV 2: 4102c4e3b00eccdc4dafb01efdd8b64b:g__Leptotrichia
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,g__Leptotrichia,ASV 3: d9078a15735509664009c26200ea23f4:g__Leptotrichia
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,g__Leptotrichia,ASV 4: 2a35a85145eb6fd66c9495fc4d626eca:g__Leptotrichia
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,g__Leptotrichia,ASV 5: a533ba46b59f2aba11acbeb0d99802b0:g__Leptotrichia
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,g__Leptotrichia,ASV 6: d1e88f87dfe65e3bd87333fd989ce061:g__Leptotrichia
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,g__Leptotrichia,ASV 7: a7159292b2768ff946debf6e2ad0fa06:g__Leptotrichia
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,g__Leptotrichia,ASV 8: 2a75b42daee4eaa0dd17b46a6234e6ad:g__Leptotrichia
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 9: 4bd8620d3c4f31e205e3f0f4b23146ea:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 10: 8c0fd8b0ba499a5c46076f8f63b578ed:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 11: 50452f4a2c30cbabb5be6feb08ba7fa8:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 12: 6eb63749373d578c60f7e1fe76385354:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 13: 6b6dea94dfd795cdda67b4e8999314d2:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 14: 503c248f6962bc34b48be4a4abebf409:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 15: 9830716e913fcc8f90044a7b37283b69:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 16: 7bead682c48e5c22050ea149dcddc33c:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 17: 8172431866dd366d8915c19d94a75a76:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 18: b60dd90c301b3687df6df5bdb603eef5:g__Fusobacterium
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,g__Fusobacterium,ASV 19: ca6e2758f5be54425aecd6f2218cce15:g__Fusobacterium
Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,g__Gracilibacteria,ASV 20: df4c91af7293552ce61ccc2dd078dfae:g__Gracilibacteria
Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,g__JGI_0000069-P22,ASV 21: bce8eec925153b5dc5b01b9732ec628d:g__JGI_0000069-P22
Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,g__JGI_0000069-P22,ASV 22: 24b4064c2f9de4890557620de1951bcf:g__JGI_0000069-P22
Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,g__JGI_0000069-P22,ASV 23: 8cc4b66b5745876563e2eae97c1f1929:g__JGI_0000069-P22
Bacteria,Patescibacteria,Gracilibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,Candidatus_Peregrinibacteria,g__Candidatus_Peregrinibacteria,ASV 24: b698390497d60dfdc48af32a230423f8:g__Candidatus_Peregrinibacteria
Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,uncultured_organism,ASV 25: a34598165f032fa90a2e30b81711c360:uncultured_organism
Bacteria,Patescibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,Gracilibacteria,uncultured_organism,ASV 26: f5056cc085a4d6cf612b040e88053592:uncultured_organism
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,o__Rickettsiales,o__Rickettsiales,o__Rickettsiales,ASV 27: 1f6f0db9fcffcba4d64a18568b366bb9:o__Rickettsiales
Bacteria,Patescibacteria,Parcubacteria,c__Parcubacteria,c__Parcubacteria,c__Parcubacteria,c__Parcubacteria,ASV 28: 8ab82c6b3fb981dcbe9ab44fc37bd341:c__Parcubacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,g__Candidatus_Kaiserbacteria,ASV 29: f2c46a3cd7f182da339df44b841e4509:g__Candidatus_Kaiserbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,g__Candidatus_Kaiserbacteria,ASV 30: 81467635d9a3127ee052aa04f2851a6c:g__Candidatus_Kaiserbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria,g__Candidatus_Kaiserbacteria,ASV 31: e5b61952019e015723312f50026025a9:g__Candidatus_Kaiserbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Azambacteria,Candidatus_Azambacteria,Candidatus_Azambacteria,g__Candidatus_Azambacteria,ASV 32: 570b6e562bd722b2b57855aa3e105b22:g__Candidatus_Azambacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,g__Candidatus_Nomurabacteria,ASV 33: a12b7119676578874e299b7396671b88:g__Candidatus_Nomurabacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,g__Candidatus_Nomurabacteria,ASV 34: ae059bd5abe9d80c4223b26e84f10a8f:g__Candidatus_Nomurabacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,g__Candidatus_Adlerbacteria,ASV 35: 7dd03e2fdcdab131ed5438dc669a63e4:g__Candidatus_Adlerbacteria
Bacteria,Patescibacteria,Parcubacteria,c__Parcubacteria,c__Parcubacteria,c__Parcubacteria,c__Parcubacteria,ASV 36: e13d29344c1835494675cd4470eb4954:c__Parcubacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,g__Candidatus_Adlerbacteria,ASV 37: 1e58578fdfd5e36ab98402a4bf70df49:g__Candidatus_Adlerbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,g__Candidatus_Adlerbacteria,ASV 38: 5ed42868beb0e000d3ca78b1cd2020ab:g__Candidatus_Adlerbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,g__Candidatus_Adlerbacteria,ASV 39: 804801ebf5fb196d5d3f5ac65cbc307c:g__Candidatus_Adlerbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,g__Candidatus_Adlerbacteria,ASV 40: a47c4f9b2b17d4a46c66627460fd7e00:g__Candidatus_Adlerbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,g__Candidatus_Adlerbacteria,ASV 41: 9488ddc7865a5245f0eda5f5c34f6f77:g__Candidatus_Adlerbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,g__Candidatus_Adlerbacteria,ASV 42: dfb2d2e5f0ad5f51eff8a337e3215d99:g__Candidatus_Adlerbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,g__Candidatus_Adlerbacteria,ASV 43: dfeac6877ca13019cfa88d36d9949718:g__Candidatus_Adlerbacteria
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,Candidatus_Adlerbacteria,g__Candidatus_Adlerbacteria,ASV 44: e78999998e396bf20f4e4e52724df3c7:g__Candidatus_Adlerbacteria
